Time,    RMM1,    RMM2,    phase,    amplitude 
0015190, 0.7818844, 0.2325493, 5, 0.8157343
0015191, 0.9151372, -0.1479034, 4, 0.9270122
0015192, 0.9862711, -0.5008342, 4, 1.1061491
0015193, 1.1583935, -0.6555322, 4, 1.3310139
0015194, 1.3056818, -0.5661127, 4, 1.4231263
0015195, 1.4856424, -0.3664961, 4, 1.5301807
0015196, 1.5148569, -0.0766602, 4, 1.5167954
0015197, 1.2640433, 0.2054695, 5, 1.2806339
0015198, 0.8784656, 0.4940231, 5, 1.0078495
0015199, 0.2755037, 0.5540603, 6, 0.6187772
0015200, -0.1660547, 0.5594372, 7, 0.5835615
0015201, -0.1173863, 0.4312470, 7, 0.4469379
0015202, -0.1925538, 0.4264989, 7, 0.4679511
0015203, -0.4182909, 0.2214985, 8, 0.4733169
0015204, -0.6391984, 0.0270987, 8, 0.6397726
0015205, -0.6996107, -0.1195224, 1, 0.7097469
0015206, -0.3690582, -0.2875232, 1, 0.4678392
0015207, 0.0442589, -0.5364794, 3, 0.5383019
0015208, 0.3361485, -0.6740314, 3, 0.7532026
0015209, 0.4594898, -0.7597537, 3, 0.8878945
0015210, 0.4033425, -0.7723523, 3, 0.8713285
0015211, 0.7478251, -0.4457858, 4, 0.8706132
0015212, 1.0933306, -0.3138852, 4, 1.1374954
0015213, 0.9923450, -0.2273626, 4, 1.0180581
0015214, 0.7894539, -0.3197999, 4, 0.8517684
0015215, 0.8387285, -0.1770084, 4, 0.8572032
0015216, 0.7657648, -0.1839290, 4, 0.7875440
0015217, 0.7555884, -0.2856773, 4, 0.8077904
0015218, 0.7710760, -0.1456538, 4, 0.7847122
0015219, 0.8362881, 0.0373756, 5, 0.8371229
0015220, 0.8253802, 0.1866500, 5, 0.8462214
0015221, 0.7032069, 0.6066712, 5, 0.9287357
0015222, 0.6135420, 1.0312363, 6, 1.1999509
0015223, 0.7646117, 1.0934988, 6, 1.3343053
0015224, 0.8493453, 1.0040507, 6, 1.3151066
0015225, 1.0552924, 1.2051766, 6, 1.6019027
0015226, 1.1997433, 1.2528756, 6, 1.7346703
