longitude,    EOF1,    EOF2 
0000000, 0.0633887, -0.0694406
0000000, 0.0693556, -0.0649367
0000000, 0.0724482, -0.0583980
0000000, 0.0739961, -0.0515048
0000000, 0.0768263, -0.0460724
0000000, 0.0835642, -0.0396250
0000000, 0.0875936, -0.0322645
0000000, 0.0986860, -0.0279252
0000000, 0.1033631, -0.0230617
0000000, 0.1089850, -0.0207840
0000000, 0.1131346, -0.0179992
0000000, 0.1168283, -0.0141970
0000000, 0.1147595, -0.0112179
0000000, 0.1162923, -0.0070516
0000000, 0.1180215, -0.0043506
0000000, 0.1224465, -0.0028184
0000000, 0.1244289, 0.0019145
0000000, 0.1255460, 0.0051280
0000000, 0.1213459, 0.0043380
0000000, 0.1145344, 0.0046371
0000000, 0.1180288, 0.0091296
0000000, 0.1103502, 0.0118535
0000000, 0.1036554, 0.0158475
0000000, 0.0991955, 0.0234816
0000000, 0.0959598, 0.0317476
0000000, 0.0858384, 0.0377036
0000000, 0.0793385, 0.0480605
0000000, 0.0710941, 0.0594588
0000000, 0.0606111, 0.0661019
0000000, 0.0511090, 0.0709866
0000000, 0.0425202, 0.0722333
0000000, 0.0325070, 0.0764519
0000000, 0.0222934, 0.0787194
0000000, 0.0141758, 0.0830223
0000000, 0.0097558, 0.0878246
0000000, 0.0051635, 0.0961658
0000000, -0.0000490, 0.1016720
0000000, -0.0055149, 0.1067444
0000000, -0.0105080, 0.1110461
0000000, -0.0142989, 0.1139534
0000000, -0.0157892, 0.1172607
0000000, -0.0172325, 0.1206658
0000000, -0.0177916, 0.1233265
0000000, -0.0189108, 0.1257604
0000000, -0.0201738, 0.1261498
0000000, -0.0231580, 0.1244540
0000000, -0.0262198, 0.1207652
0000000, -0.0289572, 0.1186915
0000000, -0.0304610, 0.1161122
0000000, -0.0314397, 0.1137296
0000000, -0.0327875, 0.1103090
0000000, -0.0327459, 0.1083913
0000000, -0.0316972, 0.1058100
0000000, -0.0309104, 0.1037341
0000000, -0.0316337, 0.1008412
0000000, -0.0319338, 0.0969620
0000000, -0.0318961, 0.0926288
0000000, -0.0322708, 0.0875103
0000000, -0.0327195, 0.0828256
0000000, -0.0322925, 0.0776281
0000000, -0.0311617, 0.0711160
0000000, -0.0298619, 0.0651017
0000000, -0.0284094, 0.0591414
0000000, -0.0275665, 0.0535299
0000000, -0.0264894, 0.0469206
0000000, -0.0258424, 0.0418092
0000000, -0.0249428, 0.0363872
0000000, -0.0250073, 0.0298934
0000000, -0.0269220, 0.0236096
0000000, -0.0301991, 0.0179236
0000000, -0.0326400, 0.0123661
0000000, -0.0343797, 0.0074693
0000000, -0.0360892, 0.0043728
0000000, -0.0393334, 0.0016346
0000000, -0.0425380, 0.0012271
0000000, -0.0435989, -0.0010514
0000000, -0.0457875, -0.0016671
0000000, -0.0480332, -0.0009982
0000000, -0.0502022, -0.0013336
0000000, -0.0527160, -0.0019163
0000000, -0.0553231, 0.0001594
0000000, -0.0576798, 0.0033205
0000000, -0.0591896, 0.0054453
0000000, -0.0598901, 0.0065607
0000000, -0.0578805, 0.0073424
0000000, -0.0554810, 0.0086044
0000000, -0.0523214, 0.0102651
0000000, -0.0499292, 0.0129912
0000000, -0.0466632, 0.0157461
0000000, -0.0410786, 0.0175091
0000000, -0.0382884, 0.0191970
0000000, -0.0370587, 0.0221613
0000000, -0.0352026, 0.0247072
0000000, -0.0288965, 0.0271741
0000000, -0.0263178, 0.0306442
0000000, -0.0201606, 0.0274128
0000000, -0.0143000, 0.0249055
0000000, -0.0087405, 0.0157060
0000000, -0.0101674, 0.0169168
0000000, -0.0055789, 0.0143746
0000000, -0.0062045, 0.0165107
0000000, -0.0044013, 0.0128306
0000000, -0.0092912, 0.0142688
0000000, -0.0082744, 0.0150464
0000000, -0.0123573, 0.0162704
0000000, -0.0148762, 0.0184584
0000000, -0.0158945, 0.0217900
0000000, -0.0162535, 0.0241398
0000000, -0.0139612, 0.0260018
0000000, -0.0127020, 0.0269532
0000000, -0.0111678, 0.0282131
0000000, -0.0098995, 0.0268772
0000000, -0.0088834, 0.0239151
0000000, -0.0097060, 0.0229892
0000000, -0.0093909, 0.0218135
0000000, -0.0093447, 0.0150725
