,year,month,day,RMM1,RMM2,phase,amplitude
2012-05-21,2012,5,21,-0.42912379,0.29509702,8,0.52079695
2012-05-22,2012,5,22,-0.45753086,-0.00540095568,1,0.45756274
2012-05-23,2012,5,23,-0.40263292,0.0610070489,8,0.40722859
2012-05-24,2012,5,24,-0.39588961,0.10048563,8,0.40844333
2012-05-25,2012,5,25,-0.34227216,-0.17398855,1,0.38395604
2012-05-26,2012,5,26,-0.17760275,-0.17717868,1,0.25086853
2012-05-27,2012,5,27,0.2460299,0.0380818099,5,0.24895971
2012-05-28,2012,5,28,0.19556837,-0.0231322944,4,0.19693169
2012-05-29,2012,5,29,0.12523195,-0.0152313216,4,0.12615481
2012-05-30,2012,5,30,0.21098328,-0.18630987,4,0.28146991
2012-05-31,2012,5,31,0.54891217,-0.20734522,4,0.58676797
2012-06-01,2012,6,1,0.60661811,-0.16970149,4,0.62990803
2012-06-02,2012,6,2,0.76331401,0.10528939,5,0.77054149
2012-06-03,2012,6,3,1.1112452,0.31365842,5,1.1546633
2012-06-04,2012,6,4,1.464149,0.12829392,5,1.469759
2012-06-05,2012,6,5,1.7948895,0.35210788,5,1.8291004
2012-06-06,2012,6,6,1.7354052,0.50160295,5,1.8064431
2012-06-07,2012,6,7,1.7036723,0.68111962,5,1.8347815
2012-06-08,2012,6,8,1.0937601,0.82915813,5,1.3725212
2012-06-09,2012,6,9,0.48610425,1.3170555,6,1.4038991
2012-06-10,2012,6,10,-0.16187373,1.9176069,7,1.9244272
2012-06-11,2012,6,11,-0.64079052,1.9114676,7,2.016016
2012-06-12,2012,6,12,-0.81989217,1.6922008,7,1.8803635
2012-06-13,2012,6,13,-1.1305073,1.6324853,7,1.9857126
2012-06-14,2012,6,14,-1.368377,1.3809845,7,1.9441127
2012-06-15,2012,6,15,-1.5620754,0.89015752,8,1.7979043
2012-06-16,2012,6,16,-1.650293,0.24673675,8,1.668636
2012-06-17,2012,6,17,-1.5136169,-0.30980965,1,1.5449978
2012-06-18,2012,6,18,-1.6985452,-0.54207402,1,1.7829469
2012-06-19,2012,6,19,-1.8239865,-0.4098846,1,1.8694738
2012-06-20,2012,6,20,-1.7751194,-0.0926729068,1,1.7775369
2012-06-21,2012,6,21,-1.9255568,-0.020509677,1,1.925666
2012-06-22,2012,6,22,-2.0693557,0.0576519705,8,2.0701587
2012-06-23,2012,6,23,-1.904013,-0.22865596,1,1.9176937
2012-06-24,2012,6,24,-1.8435179,-0.37452674,1,1.8811774
2012-06-25,2012,6,25,-1.7334074,-0.55126911,1,1.8189554
2012-06-26,2012,6,26,-1.4710671,-0.46717873,1,1.5434684
2012-06-27,2012,6,27,-1.1537884,-0.33551323,1,1.201581
2012-06-28,2012,6,28,-0.72457922,-0.38000467,1,0.81818002
2012-06-29,2012,6,29,-0.64477712,-0.62440181,1,0.89756072
2012-06-30,2012,6,30,-0.58129251,-1.0604922,2,1.2093571
2012-07-01,2012,7,1,-0.535537,-1.2208773,2,1.3331696
2012-07-02,2012,7,2,-0.35694289,-1.0861578,2,1.1433053
2012-07-03,2012,7,3,-0.21672732,-1.1000991,2,1.1212443
2012-07-04,2012,7,4,-0.0955699086,-1.3463647,2,1.3497524
2012-07-05,2012,7,5,-0.0444677211,-1.4017813,2,1.4024864
2012-07-06,2012,7,6,0.1055861,-1.3382741,3,1.3424329
2012-07-07,2012,7,7,0.10659495,-1.2847255,3,1.2891401
2012-07-08,2012,7,8,-0.0317791924,-1.1570915,2,1.1575278
2012-07-09,2012,7,9,-0.37888885,-0.97361529,2,1.0447409
2012-07-10,2012,7,10,-0.58349502,-0.85437328,2,1.0346111
2012-07-11,2012,7,11,-0.70825386,-0.82265472,2,1.0855341
2012-07-12,2012,7,12,-0.91226256,-0.72474265,1,1.1651073
2012-07-13,2012,7,13,-1.0548965,-0.75784194,1,1.2988961
2012-07-14,2012,7,14,-0.65237892,-0.9894985,2,1.1852027
2012-07-15,2012,7,15,-0.59136224,-0.90263146,2,1.0790982
2012-07-16,2012,7,16,-0.40104708,-0.80915785,2,0.90309203
2012-07-17,2012,7,17,0.29402629,-0.61525375,3,0.68190074
2012-07-18,2012,7,18,0.70813167,-0.60046899,4,0.92844677
2012-07-19,2012,7,19,0.64800739,-0.55463707,4,0.85295713
2012-07-20,2012,7,20,0.37201354,-0.48370415,3,0.6102162
2012-07-21,2012,7,21,0.51519835,-0.44308096,4,0.67952198
2012-07-22,2012,7,22,0.55298007,-0.10984526,4,0.56378448
2012-07-23,2012,7,23,0.62407809,-0.12866345,4,0.6372031
2012-07-24,2012,7,24,0.78882128,-0.0766302571,4,0.79253465
2012-07-25,2012,7,25,0.76092088,0.30112019,5,0.81833613
2012-07-26,2012,7,26,0.73319411,0.36773098,5,0.82024372
2012-07-27,2012,7,27,0.66815174,0.49602121,5,0.83214408
2012-07-28,2012,7,28,0.46368071,0.67652506,6,0.82017434
2012-07-29,2012,7,29,0.35957274,0.64648539,6,0.73975396
2012-07-30,2012,7,30,0.4356389,0.78056586,6,0.89390397
2012-07-31,2012,7,31,0.35839701,1.0640713,6,1.1228073
2012-08-01,2012,8,1,0.31007224,1.1366893,6,1.1782221
2012-08-02,2012,8,2,0.13146938,1.1114806,6,1.1192288
2012-08-03,2012,8,3,-0.0327072106,0.82558382,7,0.82623148
2012-08-04,2012,8,4,-0.21041922,0.5750553,7,0.61234373
2012-08-05,2012,8,5,-0.3420839,0.35484654,7,0.49288687
2012-08-06,2012,8,6,-0.55173033,0.27443922,8,0.6162169
2012-08-07,2012,8,7,-1.0503999,0.0806184486,8,1.0534891
2012-08-08,2012,8,8,-1.4490345,-0.00935715158,1,1.4490647
2012-08-09,2012,8,9,-1.7044867,-0.18057755,1,1.7140255
2012-08-10,2012,8,10,-1.6739925,-0.30429551,1,1.7014248
2012-08-11,2012,8,11,-1.55847,-0.28243092,1,1.5838548
2012-08-12,2012,8,12,-1.4612492,-0.35354462,1,1.5034105
2012-08-13,2012,8,13,-1.4458373,-0.32458603,1,1.4818237
2012-08-14,2012,8,14,-1.4905918,-0.6404748,1,1.6223661
2012-08-15,2012,8,15,-1.3623148,-0.82380885,1,1.592031
2012-08-16,2012,8,16,-1.2524167,-1.0845888,1,1.6567681
2012-08-17,2012,8,17,-0.74436599,-1.4403853,2,1.6213546
2012-08-18,2012,8,18,-0.65719539,-1.4113408,2,1.5568522
2012-08-19,2012,8,19,-0.52844048,-1.4587407,2,1.551507
2012-08-20,2012,8,20,-0.26472086,-1.5509926,2,1.5734215
2012-08-21,2012,8,21,-0.04962302,-1.4938656,2,1.4946895
2012-08-22,2012,8,22,0.27637619,-1.4522624,3,1.4783267
2012-08-23,2012,8,23,0.49148431,-1.6699402,3,1.7407634
2012-08-24,2012,8,24,0.59163189,-1.7818273,3,1.8774816
2012-08-25,2012,8,25,0.44198039,-1.8466063,3,1.8987631
2012-08-26,2012,8,26,0.53261882,-1.896278,3,1.9696581
2012-08-27,2012,8,27,0.60780007,-1.9035745,3,1.9982535
2012-08-28,2012,8,28,0.59767628,-1.724426,3,1.8250649
2012-08-29,2012,8,29,0.42444745,-1.4254738,3,1.4873234
2012-08-30,2012,8,30,0.21233442,-1.1573627,3,1.1766794
2012-08-31,2012,8,31,0.23625679,-0.86310554,3,0.89485663
2012-09-01,2012,9,1,0.17907898,-0.83820522,3,0.85712147
2012-09-02,2012,9,2,0.0976049379,-0.73905635,3,0.74547368
2012-09-03,2012,9,3,0.54166263,-0.83821911,3,0.99800289
2012-09-04,2012,9,4,0.93941891,-0.90459472,4,1.304147
2012-09-05,2012,9,5,0.86619854,-0.68067408,4,1.1016428
2012-09-06,2012,9,6,1.27367,-1.0601028,4,1.657122
2012-09-07,2012,9,7,1.4571475,-1.294139,4,1.9488649
2012-09-08,2012,9,8,1.492293,-1.0463347,4,1.8225682
2012-09-09,2012,9,9,1.4885821,-0.74564612,4,1.6648918
2012-09-10,2012,9,10,1.4470447,-0.6271472,4,1.5771024
2012-09-11,2012,9,11,1.2993679,-0.23085719,4,1.3197167
2012-09-12,2012,9,12,1.1204445,0.17195611,5,1.1335629
2012-09-13,2012,9,13,1.0515364,0.62435818,5,1.2229277
2012-09-14,2012,9,14,1.0868539,0.63056171,5,1.2565267
2012-09-15,2012,9,15,0.88441753,0.32310018,5,0.94158804
2012-09-16,2012,9,16,0.70487624,-0.0032436417,4,0.70488369
2012-09-17,2012,9,17,0.70469075,0.11449607,5,0.71393162
2012-09-18,2012,9,18,0.91921502,0.0373963006,5,0.9199754
