,Date,PC1,PC2,phase,amplitude,year
15596,2021-09-13,0.681442,-1.6674896,3,1.8013564,2021
15597,2021-09-14,0.7964221,-1.8108675,3,1.9782642,2021
15598,2021-09-15,0.865417,-1.5715132,3,1.7940458,2021
15599,2021-09-16,0.8429463,-1.4264325,3,1.656885,2021
15600,2021-09-17,0.7218961,-1.2872746,3,1.475876,2021
15601,2021-09-18,0.6285388,-1.0470414,3,1.2212112,2021
15602,2021-09-19,0.6416773,-0.9326285,3,1.1320537,2021
15603,2021-09-20,0.7456946,-1.0607173,3,1.2966039,2021
15604,2021-09-21,0.6870489,-1.1279544,3,1.320726,2021
15605,2021-09-22,0.6367423,-0.7999012,3,1.0223907,2021
15606,2021-09-23,0.7275298,-0.1909433,4,0.7521695,2021
15607,2021-09-24,0.5490328,0.0472076,5,0.5510586,2021
15608,2021-09-25,0.6284812,0.1757463,5,0.6525913,2021
15609,2021-09-26,0.7964839,0.0073767,5,0.7965181,2021
15610,2021-09-27,1.1364607,-0.1511936,4,1.1464739,2021
15611,2021-09-28,1.2628982,-0.2657391,4,1.2905538,2021
15612,2021-09-29,1.2320484,-0.4372422,4,1.3073347,2021
15613,2021-09-30,1.3950509,-0.4734689,4,1.4732074,2021
15614,2021-10-01,1.3393861,-0.3133218,4,1.3755456,2021
15615,2021-10-02,1.330654,-0.0123361,4,1.3307112,2021
15616,2021-10-03,1.4336998,0.2057854,5,1.4483932,2021
15617,2021-10-04,1.4804437,0.3746662,5,1.5271176,2021
15618,2021-10-05,1.6832972,0.6836467,5,1.8168275,2021
15619,2021-10-06,1.8601232,0.6836748,5,1.9817843,2021
15620,2021-10-07,1.8518323,0.6364076,5,1.9581362,2021
15621,2021-10-08,1.5651077,0.5551912,5,1.6606623,2021
15622,2021-10-09,1.318454,0.4675631,5,1.3989054,2021
15623,2021-10-10,1.4162686,0.7211578,5,1.5893034,2021
15624,2021-10-11,1.5164967,1.1373394,5,1.8956009,2021
15625,2021-10-12,1.2377989,1.2812272,6,1.7814852,2021
15626,2021-10-13,1.0211264,1.0929043,6,1.4957068,2021
15627,2021-10-14,0.7789179,0.9439384,6,1.223819,2021
15628,2021-10-15,0.473209,0.7504759,6,0.8872095,2021
15629,2021-10-16,0.423042,0.588717,6,0.7249498,2021
15630,2021-10-17,0.2654499,0.1705685,5,0.3155269,2021
15631,2021-10-18,-0.0641919,-0.3567109,2,0.3624407,2021
15632,2021-10-19,-0.2508704,-0.5319284,2,0.5881188,2021
15633,2021-10-20,-0.4037382,-0.5092207,2,0.6498541,2021
15634,2021-10-21,-0.3772202,-0.5879377,2,0.6985455,2021
15635,2021-10-22,-0.3965581,-0.6747009,2,0.7826107,2021
15636,2021-10-23,-0.5124751,-0.6191595,2,0.8037345,2021
15637,2021-10-24,-0.4956686,-0.5233573,2,0.720826,2021
15638,2021-10-25,-0.5579019,-0.3719187,1,0.6705058,2021
15639,2021-10-26,-0.6252609,-0.2990486,1,0.6930954,2021
15640,2021-10-27,-0.7954859,-0.1950274,1,0.8190443,2021
15641,2021-10-28,-0.8108422,-0.2847859,1,0.8593998,2021
15642,2021-10-29,-1.0847908,-0.2134357,1,1.1055884,2021
15643,2021-10-30,-0.9051651,-0.3664739,1,0.9765382,2021
15644,2021-10-31,-0.670718,-0.4524735,1,0.8090703,2021
15645,2021-11-01,-0.4578915,-0.4009948,1,0.6086555,2021
15646,2021-11-02,-0.3352579,-0.4781326,2,0.5839595,2021
15647,2021-11-03,0.0514572,-0.5677946,3,0.5701215,2021
15648,2021-11-04,0.4558187,-0.5197667,3,0.6913235,2021
15649,2021-11-05,0.5251765,-0.4806054,4,0.7118932,2021
15650,2021-11-06,0.7852016,-0.4380008,4,0.899103,2021
15651,2021-11-07,0.7230673,-0.5248406,4,0.8934674,2021
15652,2021-11-08,0.3691409,-0.6318086,3,0.7317425,2021
15653,2021-11-09,0.3666409,-0.6883938,3,0.7799433,2021
15654,2021-11-10,0.7604172,-0.5102057,4,0.9157206,2021
15655,2021-11-11,0.9674426,-0.3321927,4,1.0228868,2021
15656,2021-11-12,0.9608175,-0.2544347,4,0.9939352,2021
15657,2021-11-13,0.8895022,-0.1951487,4,0.9106575,2021
15658,2021-11-14,1.1370288,0.0125811,5,1.1370984,2021
15659,2021-11-15,1.1361507,-0.1122392,4,1.1416813,2021
15660,2021-11-16,1.0648271,-0.29238,4,1.1042386,2021
15661,2021-11-17,0.7843972,-0.4725592,4,0.9157463,2021
15662,2021-11-18,0.9645084,-0.4583364,4,1.0678711,2021
15663,2021-11-19,1.1162758,-0.4765458,4,1.2137411,2021
15664,2021-11-20,1.2278881,-0.266519,4,1.2564799,2021
15665,2021-11-21,0.9394249,-0.2120986,4,0.9630706,2021
15666,2021-11-22,0.6190853,-0.3397636,4,0.7061911,2021
15667,2021-11-23,0.6107388,-0.6795608,3,0.9136766,2021
15668,2021-11-24,0.5776429,-0.9250993,3,1.0906329,2021
15669,2021-11-25,0.7027716,-0.7680789,3,1.0410731,2021
15670,2021-11-26,0.8510509,-0.6028907,4,1.0429596,2021
15671,2021-11-27,0.8339561,-0.315483,4,0.8916346,2021
15672,2021-11-28,0.785102,0.0960913,5,0.7909606,2021
15673,2021-11-29,0.8826433,0.4861754,5,1.0076834,2021
15674,2021-11-30,0.9594092,0.6387377,5,1.1525849,2021
15675,2021-12-01,1.0836005,0.9005728,5,1.4089788,2021
15676,2021-12-02,1.1630908,1.2390331,6,1.6994067,2021
15677,2021-12-03,1.1795788,1.4072119,6,1.8362057,2021
15678,2021-12-04,0.9747645,1.187155,6,1.5360674,2021
15679,2021-12-05,0.8884655,1.1980771,6,1.4915628,2021
15680,2021-12-06,1.0553372,1.3020725,6,1.6760458,2021
15681,2021-12-07,0.76731,1.622743,6,1.7950096,2021
15682,2021-12-08,0.2594648,2.1668479,6,2.182327,2021
15683,2021-12-09,0.2198236,2.3818951,6,2.3920171,2021
15684,2021-12-10,-0.0146722,2.2214968,7,2.2215452,2021
15685,2021-12-11,-0.0533426,2.3242586,7,2.3248706,2021
15686,2021-12-12,-0.0848968,2.1345296,7,2.1362174,2021
15687,2021-12-13,0.217188,2.0829284,6,2.0942209,2021
15688,2021-12-14,0.33512,1.9318447,6,1.9606961,2021
15689,2021-12-15,0.5582012,1.8842165,6,1.9651617,2021
15690,2021-12-16,0.6325305,1.8772432,6,1.9809433,2021
15691,2021-12-17,0.4464819,1.6921432,6,1.7500557,2021
15692,2021-12-18,0.2532905,1.4738492,6,1.4954556,2021
15693,2021-12-19,0.1477577,1.4841996,6,1.4915364,2021
15694,2021-12-20,-0.1530387,1.7788825,7,1.7854534,2021
15695,2021-12-21,-0.4009794,1.912156,7,1.9537464,2021
15696,2021-12-22,-0.2957184,2.076576,7,2.0975266,2021
15697,2021-12-23,-0.2965441,1.8036901,7,1.8279048,2021
15698,2021-12-24,-0.5060543,1.4759972,7,1.5603392,2021
15699,2021-12-25,-0.725942,1.3972054,7,1.5745395,2021
15700,2021-12-26,-0.9027184,1.7112197,7,1.9347281,2021
15701,2021-12-27,-0.9638971,2.0786083,7,2.2912245,2021
15702,2021-12-28,-1.1709764,1.8018204,7,2.1488934,2021
15703,2021-12-29,-1.2892035,1.5231804,7,1.9955261,2021
15704,2021-12-30,-1.3429108,1.3363876,8,1.8945557,2021
15705,2021-12-31,-1.6168755,1.3531425,8,2.1083834,2021
